Datasheet,Part Number,Designator,Footprint,LCSC Part
https://datasheet.lcsc.com/lcsc/1808280350_Diodes-Incorporated-DMN26D0UFB4-7_C260867.pdf,DMN26D0UFB4-7,"Q3, Q4, Q6, Q7, Q9, Q10, Q11, Q12, Q13, Q14",X2-DFN1006-3,C260867
https://www.diodes.com/assets/Datasheets/ds31835.pdf,MMBT3904,Q8,SOT-23,C20526
https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF1002TCE_C25744.pdf,0402WGF1002TCE,"R1, R5, R6, R7, R13, R14, R15, R17, R20, R24, R33, R34, R35, R40, R50, R52, R54, R56, R58, R71, R72, R79, R89, R90",0402,C25744
https://datasheet.lcsc.com/lcsc/1811022110_UNI-ROYAL-Uniroyal-Elec-0402WGF2201TCE_C25879.pdf,0402WGF2201TCE,R10,0402,C25879
https://datasheet.lcsc.com/lcsc/1811011222_UNI-ROYAL-Uniroyal-Elec-0402WGF3901TCE_C51721.pdf,0402WGF3901TCE,R11,0402,C51721
https://datasheet.lcsc.com/lcsc/1810111814_UNI-ROYAL-Uniroyal-Elec-0402WGF1003TCE_C25741.pdf,0402WGF1003TCE,"R12, R18, R19, R38, R82, R83, R84, R85, R86, R87, R88",0402,C25741
https://datasheet.lcsc.com/lcsc/1810301112_UNI-ROYAL-Uniroyal-Elec-0402WGF5101TCE_C25905.pdf,0402WGF5101TCE,R16,0402,C25905
https://datasheet.lcsc.com/lcsc/1810301322_UNI-ROYAL-Uniroyal-Elec-0402WGF3003TCE_C25774.pdf,0402WGF3003TCE,R2,0402,C25774
https://datasheet.lcsc.com/lcsc/1809140113_UNI-ROYAL-Uniroyal-Elec-0402WGF1000TCE_C25076.pdf,0402WGF1000TCE,"R21, R39",0402,C25076
https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF1001TCE_C11702.pdf,0402WGF1001TCE,R23,0402,C11702
https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF1202TCE_C25752.pdf,0603WAF1202T5E,R3,603,C22790
https://datasheet.lcsc.com/lcsc/1811081724_UNI-ROYAL-Uniroyal-Elec-0603WAF1500T5E_C22808.pdf,0603WAF1500T5E,"R32, R37",0603,C22808
https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF4701TCE_C25900.pdf,0402WGF4701TCE,"R4, R22",0402,C25900
https://datasheet.lcsc.com/lcsc/1809301716_UNI-ROYAL-Uniroyal-Elec-0402WGF1004TCE_C26083.pdf,0402WGF1004TCE,R43,0402,C26083
https://datasheet.lcsc.com/lcsc/1811151223_UNI-ROYAL-Uniroyal-Elec-0402WGF5100TCE_C25123.pdf,0402WGF5100TCE,"R59, R60, R61, R62, R63, R64, R65, R66",0402,C25123
https://datasheet.lcsc.com/lcsc/1811081714_UNI-ROYAL-Uniroyal-Elec-0603WAF1801T5E_C4177.pdf,0603WAF1801T5E,"R77, R78",603,C4177
https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF0000TCE_C17168.pdf,0402WGF0000TCE,"R8, R31, R36, R41, R42, R44, R46, R47, R48, R49, R57, R67, R68, R69, R70, R73, R74, R75, R76",0402,C17168
https://datasheet.lcsc.com/lcsc/1811081724_UNI-ROYAL-Uniroyal-Elec-0603WAF3602T5E_C23147.pdf,0603WAF3602T5E,R80,0603,C23147
https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF1203TCE_C25750.pdf,0402WGF1203TCE,R81,0402,C25750
https://datasheet.lcsc.com/lcsc/1811081723_UNI-ROYAL-Uniroyal-Elec-0603WAF1203T5E_C25808.pdf,0603WAF1203T5E,R91,0603,C25808
https://datasheet.lcsc.com/lcsc/2002271432_XKB-Connectivity-TS-1187A-C-E-B_C318887.pdf,TS-1187A-C-E-B,"S1, S2, S3",SMD-SW-4_5.1x5.1x2.5,C318887
https://datasheet.lcsc.com/lcsc/1810051613_TECHFUSE-SMD0603-050_C69679.pdf,SMD0603-050,"TH1, TH2, TH3, TH4",0603,C69679
https://datasheet.lcsc.com/lcsc/1804240020_Nexperia-74LVC1G126GV-125_C12520.pdf,"74LVC1G126GW,125","U1, U4",SOT-353,C55052
https://datasheet.lcsc.com/lcsc/1809291208_XI-AN-Aerosemi-Tech-MT9700_C89855.pdf,MT9700,U10,SOT-23-5,C89855
